@timestamp,node_description,node_name,error_code,error_message,error_color,requires_ui
2025-05-15T06:35:19.596-05:00,105 - FIM/4,105_4_BIM,12C1,Sample Tube Missing In Gripper During Loading,Red,Yes
2025-05-15T06:35:21.274-05:00,105 - FIM/4,105_4_BIM,12C1,Sample Tube Missing In Gripper During Loading,Red,Yes
2025-05-15T06:35:55.278-05:00,119 - DCM/3,119_3_DCM,514,Cap Waste Has Been Removed,Red,User Error
2025-05-15T06:37:48.974-05:00,49 - IAU/1,49_1_IAU,5C96,Analyzer Exit - Rack not detected,Red,No
2025-05-15T06:38:56.404-05:00,28 - CO8/2,28_2_CO8,5DC1,Rack Not Present At Analyzer Input Position,Red,No
2025-05-15T06:40:02.133-05:00,123 - DCM/7,123_7_DCM,587,Cap Drop Failure,Red,Yes
2025-05-15T06:40:09.247-05:00,84 - HVS/2,84_2_HVS2,M0B81,IOM Multi Gripper-Z down error,Red,Yes
2025-05-15T06:42:04.876-05:00,122 - DCM/6,122_6_DCM,587,Cap Drop Failure,Red,Yes
2025-05-15T06:43:13.048-05:00,52 - IAU/4,52_4_IAU,5C84,Analyzer Pre-Input Position - Rack not arrived,Red,No
2025-05-15T06:43:22.911-05:00,104 - FIM/3,104_3_BIM,12BE,Hopper - Panel Removed,Red,Yes
2025-05-15T06:43:52.705-05:00,105 - FIM/4,105_4_BIM,12C1,Sample Tube Missing In Gripper During Loading,Red,Yes
2025-05-15T06:45:06.386-05:00,107 - FIM/6,107_6_BIM,12D4,Diverter jam error,Red,Yes
2025-05-15T06:45:29.192-05:00,29 - CS5/1,29_1_CS5,0A5D,Analyzer Pausing,Red,Analyzer Error
2025-05-15T06:45:36.471-05:00,28 - CO8/2,28_2_CO8,5ECF,Robot Not Homed,Red,No
2025-05-15T06:46:14.761-05:00,52 - IAU/4,52_4_IAU,5CE3,Safety shield open,Red,User Error
2025-05-15T06:47:11.498-05:00,52 - IAU/4,52_4_IAU,89B2,Robot Move Error - Axis Z,Red,Yes
2025-05-15T06:47:46.912-05:00,52 - IAU/4,52_4_IAU,8889,Linear Motor - Movement not successfully performed,Red,No
2025-05-15T06:47:55.749-05:00,105 - FIM/4,105_4_BIM,12C1,Sample Tube Missing In Gripper During Loading,Red,Yes
2025-05-15T06:48:08.555-05:00,52 - IAU/4,52_4_IAU,5C0F,Initialization in progress,Red,No
2025-05-15T06:48:22.306-05:00,105 - FIM/4,105_4_BIM,12C1,Sample Tube Missing In Gripper During Loading,Red,Yes
2025-05-15T06:49:56.796-05:00,103 - FIM/2,103_2_BIM,12D4,Diverter jam error,Red,Yes
2025-05-15T06:52:22.842-05:00,122 - DCM/6,122_6_DCM,587,Cap Drop Failure,Red,Yes
2025-05-15T06:53:03.944-05:00,104 - FIM/3,104_3_BIM,12AA,Hopper - Unexpected Lid Opening,Red,Yes
2025-05-15T06:53:12.247-05:00,122 - DCM/6,122_6_DCM,587,Cap Drop Failure,Red,Yes
2025-05-15T06:53:23.282-05:00,103 - FIM/2,103_2_BIM,12BA,Gripper Close Fault During Sample Tube Picking,Red,Yes
2025-05-15T06:54:13.925-05:00,107 - FIM/6,107_6_BIM,12C4,Hopper - Tube Elevator Up Motion Error,Red,Yes
2025-05-15T06:54:15.799-05:00,103 - FIM/2,103_2_BIM,12BA,Gripper Close Fault During Sample Tube Picking,Red,Yes
2025-05-15T06:54:19.701-05:00,103 - FIM/2,103_2_BIM,12BA,Gripper Close Fault During Sample Tube Picking,Red,Yes
2025-05-15T06:54:35.635-05:00,122 - DCM/6,122_6_DCM,587,Cap Drop Failure,Red,Yes
2025-05-15T06:55:49.878-05:00,31 - LXL/1,31_1_LXL,3680,Communication Error during Sampling Request,Red,Analyzer Error
2025-05-15T06:57:15.020-05:00,107 - FIM/6,107_6_BIM,12A0,Robot - Arm Down Failure,Red,Yes
2025-05-15T06:57:28.803-05:00,31 - LXL/1,31_1_LXL,3680,Communication Error during Sampling Request,Red,Analyzer Error
2025-05-15T06:58:15.982-05:00,107 - FIM/6,107_6_BIM,12A0,Robot - Arm Down Failure,Red,Yes
2025-05-15T06:58:20.309-05:00,107 - FIM/6,107_6_BIM,12A0,Robot - Arm Down Failure,Red,Yes
2025-05-15T06:58:31.308-05:00,122 - DCM/6,122_6_DCM,587,Cap Drop Failure,Red,Yes
2025-05-15T06:58:47.819-05:00,32 - LXL/2,32_2_LXL,3680,Communication Error during Sampling Request,Red,Analyzer Error
2025-05-15T06:58:59.453-05:00,29 - CS5/1,29_1_CS5,0A5D,Analyzer Pausing,Red,Analyzer Error
2025-05-15T07:00:25.989-05:00,122 - DCM/6,122_6_DCM,587,Cap Drop Failure,Red,Yes
2025-05-15T07:00:39.584-05:00,88 - DSM/1,88_1_DSM,787,Foil Sensor Obstruction,Red,Yes
2025-05-15T07:01:14.225-05:00,103 - FIM/2,103_2_BIM,12C1,Sample Tube Missing In Gripper During Loading,Red,Yes
2025-05-15T07:01:52.345-05:00,103 - FIM/2,103_2_BIM,12C1,Sample Tube Missing In Gripper During Loading,Red,Yes
2025-05-15T07:01:56.026-05:00,103 - FIM/2,103_2_BIM,12C1,Sample Tube Missing In Gripper During Loading,Red,Yes
2025-05-15T07:03:26.202-05:00,88 - DSM/1,88_1_DSM,787,Foil Sensor Obstruction,Red,Yes
2025-05-15T07:05:42.601-05:00,127 - ALQ/2,127_2_ALQ,M01CD,Primary Tube Gate Activation Failure,Red,Yes
2025-05-15T07:06:58.491-05:00,32 - LXL/2,32_2_LXL,3680,Communication Error during Sampling Request,Red,Analyzer Error
2025-05-15T07:10:20.155-05:00,127 - ALQ/2,127_2_ALQ,M01DF,Jam in Secondary Tube Box,Red,Yes
2025-05-15T07:16:32.343-05:00,22 - DCM/2,22_2_DCM,514,Cap Waste Has Been Removed,Red,User Error
2025-05-15T07:16:32.495-05:00,22 - DCM/2,22_2_DCM,588,Cap Waste Missing,Red,User Error
2025-05-15T07:16:51.867-05:00,104 - FIM/3,104_3_BIM,12C4,Hopper - Tube Elevator Up Motion Error,Red,Yes
2025-05-15T07:17:02.441-05:00,21 - DCM/1,21_1_DCM,514,Cap Waste Has Been Removed,Red,User Error
2025-05-15T07:17:05.493-05:00,21 - DCM/1,21_1_DCM,588,Cap Waste Missing,Red,User Error
2025-05-15T07:18:27.484-05:00,21 - DCM/1,21_1_DCM,588,Cap Waste Missing,Red,User Error
2025-05-15T07:18:49.465-05:00,22 - DCM/2,22_2_DCM,588,Cap Waste Missing,Red,User Error
2025-05-15T07:27:25.496-05:00,123 - DCM/7,123_7_DCM,SC0B3,Too Many GATE-WARNING Messages,Red,Yes
2025-05-15T07:29:26.272-05:00,50 - IAU/2,50_2_IAU,S0066,Diagnostic Macro Not Found,Red,No
2025-05-15T07:44:51.685-05:00,50 - IAU/2,50_2_IAU,5C0F,Initialization in progress,Red,No
2025-05-15T07:49:03.555-05:00,49 - IAU/1,49_1_IAU,8982,Pick operation not allowed,Red,No
2025-05-15T07:50:18.123-05:00,51 - IAU/3,51_3_IAU,5C0F,Initialization in progress,Red,No
2025-05-15T07:50:33.810-05:00,51 - IAU/3,51_3_IAU,5C81,Unload Position - Rack stuck,Red,No
2025-05-15T07:51:29.236-05:00,126 - ALQ/1,126_1_ALQ,M0132,Discard Piston on Tube Hopper Failure,Red,No
2025-05-15T07:51:42.356-05:00,49 - IAU/1,49_1_IAU,S0039,CANoE: SDO Transfer - Abort Received,Red,Yes
2025-05-15T07:51:44.616-05:00,49 - IAU/1,49_1_IAU,89D0,Tube not found during recovery,Red,No
2025-05-15T07:52:09.837-05:00,49 - IAU/1,49_1_IAU,5CE3,Safety shield open,Red,User Error
2025-05-15T07:53:05.516-05:00,49 - IAU/1,49_1_IAU,89D0,Tube not found during recovery,Red,No
2025-05-15T07:53:05.841-05:00,49 - IAU/1,49_1_IAU,5C0F,Initialization in progress,Red,No
2025-05-15T07:53:57.072-05:00,51 - IAU/3,51_3_IAU,5C0F,Initialization in progress,Red,No
2025-05-15T07:54:07.214-05:00,27 - CO8/1,27_1_CO8,5DC1,Rack Not Present At Analyzer Input Position,Red,No
2025-05-15T07:54:11.838-05:00,106 - FIM/5,106_5_BIM,12C9,Sample Tube Presence Sensor Error,Red,Yes
2025-05-15T07:55:46.382-05:00,106 - FIM/5,106_5_BIM,12C9,Sample Tube Presence Sensor Error,Red,Yes
2025-05-15T07:55:50.108-05:00,106 - FIM/5,106_5_BIM,12C9,Sample Tube Presence Sensor Error,Red,Yes
2025-05-15T07:56:59.239-05:00,27 - CO8/1,27_1_CO8,5ECF,Robot Not Homed,Red,No
2025-05-15T07:59:51.257-05:00,42 - ATS/2,42_2_ATS,8430,Atellica System Not Available,Red,Analyzer Error
2025-05-15T08:00:12.969-05:00,44 - TBM/7,44_4_IUT,M0A05,Jam on Pit lane,Red,No
2025-05-15T08:01:08.107-05:00,106 - FIM/5,106_5_BIM,12C4,Hopper - Tube Elevator Up Motion Error,Red,Yes
2025-05-15T08:02:12.409-05:00,106 - FIM/5,106_5_BIM,12A0,Robot - Arm Down Failure,Red,Yes
2025-05-15T08:03:16.772-05:00,106 - FIM/5,106_5_BIM,12A0,Robot - Arm Down Failure,Red,Yes
2025-05-15T08:03:21.916-05:00,106 - FIM/5,106_5_BIM,12A0,Robot - Arm Down Failure,Red,Yes
2025-05-15T08:05:35.202-05:00,44 - TBM/7,44_4_IUT,M0A05,Jam on Pit lane,Red,No
2025-05-15T08:13:31.439-05:00,134 - PRM/3,134_3_PRM,4BC0,Cap Container Empty,Red,Maintenance
2025-05-15T08:17:17.598-05:00,81 - HVS/1,81_1_HVS2,M0EA2,Traslo YZ - Gripper Z down failure,Red,Yes
2025-05-15T08:20:23.696-05:00,81 - HVS/1,81_1_HVS2,M0EA2,Traslo YZ - Gripper Z down failure,Red,Yes
2025-05-15T08:23:49.823-05:00,4 - IOM/4,4_4_MIOM,M2183,Tube not detected on gate after place,Red,Yes
2025-05-15T08:24:40.534-05:00,4 - IOM/4,4_4_MIOM,M2192,Safety switch is opened,Red,Yes
2025-05-15T08:24:40.725-05:00,4 - IOM/4,4_4_MIOM,M2190,Safety Shield Open,Red,User Error
2025-05-15T08:24:55.244-05:00,4 - IOM/4,4_4_MIOM,M2192,Safety switch is opened,Red,Yes
2025-05-15T08:24:55.281-05:00,4 - IOM/4,4_4_MIOM,M2183,Tube not detected on gate after place,Red,Yes
2025-05-15T08:30:46.254-05:00,44 - TBM/7,44_4_IUT,M0A05,Jam on Pit lane,Red,No
2025-05-15T08:31:36.459-05:00,10 - TBM/2,10_2_IUT,M0A05,Jam on Pit lane,Red,No
2025-05-15T08:36:38.570-05:00,133 - PRM/2,133_2_PRM,4B94,Loader Activation Error,Red,Yes
2025-05-15T08:37:38.652-05:00,10 - TBM/2,10_2_IUT,M0A05,Jam on Pit lane,Red,No
2025-05-15T08:38:31.977-05:00,10 - TBM/2,10_2_IUT,M0A05,Jam on Pit lane,Red,No
2025-05-15T08:40:54.332-05:00,163 - UTC/28,163_28_UTC(SLAVE),S0033,CANoE: Timeout receiving answer,Red,Yes
2025-05-15T08:42:11.006-05:00,105 - FIM/4,105_4_BIM,12C6,Safety Shield Open,Red,Yes
2025-05-15T08:42:31.647-05:00,42 - ATS/2,42_2_ATS,SC0B3,Too Many GATE-WARNING Messages,Red,Yes
2025-05-15T08:42:41.642-05:00,78 - SM/6,78_6_SM,06AA,Foil Released in the Cutter Area,Red,Yes
2025-05-15T08:42:41.811-05:00,77 - SM/5,77_5_SM,06AA,Foil Released in the Cutter Area,Red,Yes
2025-05-15T08:42:43.405-05:00,67 - SM/2,67_2_SM,06AA,Foil Released in the Cutter Area,Red,Yes
2025-05-15T08:42:45.200-05:00,79 - SM/7,79_7_SM,06AA,Foil Released in the Cutter Area,Red,Yes
2025-05-15T08:43:13.269-05:00,52 - IAU/4,52_4_IAU,SC0B3,Too Many GATE-WARNING Messages,Red,Yes
2025-05-15T08:43:46.741-05:00,28 - CO8/2,28_2_CO8,SC0B3,Too Many GATE-WARNING Messages,Red,Yes
2025-05-15T08:45:08.613-05:00,51 - IAU/3,51_3_IAU,SC0B3,Too Many GATE-WARNING Messages,Red,Yes
2025-05-15T08:45:48.738-05:00,43 - ATS/1,43_1_ATS,8011,Carrier Not Arrived on Antenna,Red,Maintenance
2025-05-15T08:45:49.439-05:00,49 - IAU/1,49_1_IAU,SC0B3,Too Many GATE-WARNING Messages,Red,Yes
2025-05-15T08:45:54.957-05:00,81 - HVS/1,81_1_HVS2,M0B0E,IOM - Jam in pitlane,Red,Yes
2025-05-15T08:45:58.926-05:00,84 - HVS/2,84_2_HVS2,M0B0E,IOM - Jam in pitlane,Red,Yes
2025-05-15T08:50:51.028-05:00,42 - ATS/2,42_2_ATS,8483,Instrument Critical Error,Red,Analyzer Error
2025-05-15T08:51:03.088-05:00,40 - ATS/3,40_3_ATS,8483,Instrument Critical Error,Red,Analyzer Error
2025-05-15T08:51:09.829-05:00,43 - ATS/1,43_1_ATS,8483,Instrument Critical Error,Red,Analyzer Error
2025-05-15T08:56:28.894-05:00,163 - UTC/28,163_28_UTC(SLAVE),S0033,CANoE: Timeout receiving answer,Red,Yes
2025-05-15T08:58:02.397-05:00,51 - IAU/3,51_3_IAU,5C0F,Initialization in progress,Red,No
2025-05-15T08:59:35.235-05:00,43 - ATS/1,43_1_ATS,8484,Critical Error Not yet recovered on Interface Module,Red,Yes
2025-05-15T08:59:55.749-05:00,77 - SM/5,77_5_SM,06A5,Safety Shield Open,Red,Maintenance
2025-05-15T09:00:21.700-05:00,40 - ATS/3,40_3_ATS,8484,Critical Error Not yet recovered on Interface Module,Red,Yes
2025-05-15T09:00:22.718-05:00,77 - SM/5,77_5_SM,06AA,Foil Released in the Cutter Area,Red,Yes
2025-05-15T09:00:50.762-05:00,40 - ATS/3,40_3_ATS,8483,Instrument Critical Error,Red,Analyzer Error
2025-05-15T09:01:27.913-05:00,42 - ATS/2,42_2_ATS,8484,Critical Error Not yet recovered on Interface Module,Red,Yes
2025-05-15T09:01:32.533-05:00,68 - TBM/10,68_5_IUT,M0A05,Jam on Pit lane,Red,No
2025-05-15T09:01:58.009-05:00,79 - SM/7,79_7_SM,S0066,Diagnostic Macro Not Found,Red,No
2025-05-15T09:02:00.445-05:00,91 - TBM/12,91_6_IUT,M0A05,Jam on Pit lane,Red,No
2025-05-15T09:02:01.566-05:00,77 - SM/5,77_5_SM,06A5,Safety Shield Open,Red,Maintenance
2025-05-15T09:03:38.696-05:00,40 - ATS/3,40_3_ATS,8484,Critical Error Not yet recovered on Interface Module,Red,Yes
